# Manual URL pins, for rows where automatic resolution picks the wrong asset.
# Format:  <figma path><TAB><direct URL to the logo file>
# These take priority over every resolver, so a pinned row is fetched verbatim.
#
# Example:
payments/indo/games-vouchers/magic-chess-go-go	https://assets.zonalogo.com/gaming/magicchessgogo.com/logo-1776816953538-971.png
payments/indo/games-vouchers/football-dream-be-a-pro	https://play-lh.googleusercontent.com/pR_WlgPE43YqrOV5UoktRZVUlKlTdA0SCjExjJhvm9rf5Z4VxRj7uWjawlRaOGxGd8Fs7x4rjtdoDHiEJy1d
payments/indo/games-vouchers/free-fire	https://dl.dir.freefiremobile.com/common/test/official/FREE_FIRE_LOGO.PNG.png
payments/indo/games-vouchers/free-fire-max	https://dl.dir.freefiremobile.com/common/test/official/FREE_FIRE_MAX_LOGO.PNG.png
payments/indo/games-vouchers/roblox	https://cdn.simpleicons.org/roblox/000000
payments/indo/games-vouchers/mobile-legends	https://images.seeklogo.com/logo-png/39/1/mobile-legends-logo-png_seeklogo-391010.png
payments/indo/games-vouchers/valorant	https://cdn.simpleicons.org/valorant/FA4454
payments/indo/games-vouchers/efootball	https://upload.wikimedia.org/wikipedia/commons/e/ee/EFootball_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
payments/indo/games-vouchers/ea-sports-fc-mobile	https://drop-assets.ea.com/images/W0odcRcmHi3gGKFpYtaWC/cc1b3a4242e9c7db87ced75353047aa5/fc-mobile-nav-logo.png
payments/indo/games-vouchers/honor-of-kings	https://www.honorofkings.com/assets/logo_new-_iIcWxhS.png
payments/indo/games-vouchers/blood-strike	https://www.blood-strike.com/pc/gw/20230718104343//img/logo_810802e.png
payments/indo/games-vouchers/point-blank	https://www.pointblank.id/images/common/event/bi_pbbl_wh36.png
payments/indo/games-vouchers/steam	https://cdn.simpleicons.org/steam/171A21
payments/indo/games-vouchers/google-play	https://commons.wikimedia.org/wiki/Special:FilePath/Google_Play_2022_logo.svg
payments/indo/games-vouchers/psn	https://cdn.simpleicons.org/playstation/003791
payments/indo/games-vouchers/garena-shell	https://dl.dir.freefiremobile.com/common/web_event/official2/dist/client/img/garena_logo.b28b2b6.png
payments/indo/games-vouchers/nintendo-eshop-card	https://storemedia.nintendo.com/ui/images/logos/repair/logo-nintendo-01.svg
payments/indo/games-vouchers/geforce-now	https://cdn.simpleicons.org/nvidia/76B900
payments/indo/games-vouchers/megaxus-micash	https://www.megaxus.com/v15/imgbar/images/navbar/logo.png
payments/indo/games-vouchers/xbox-usa	https://upload.wikimedia.org/wikipedia/commons/9/98/Xbox_2019_Green_horizontal.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
payments/indo/games-vouchers/pc-game-pass	https://www.svgrepo.com/show/520370/xbox-gamepass.svg
payments/indo/games-vouchers/dark-souls-iii	https://assets.stickpng.com/images/58f3626aa4fa116215a923cd.png
payments/indo/games-vouchers/battlefield-6	https://images.seeklogo.com/logo-png/62/2/battlefield-6-logo-png_seeklogo-626277.png
payments/indo/games-vouchers/battlefield-v	https://images.ctfassets.net/seegk6e7ypwi/1h5KZqd3p7N7SjRyZC7s7q/655b52a7099f67cb186251331273add5/battlefield-v-product-logo.svg
payments/indo/games-vouchers/battlefield-1	https://images.ctfassets.net/seegk6e7ypwi/5tQTpnceJgAh4H0NhCM9VR/3b7226c5ce05c40b89d436f410dcf406/battlefield-1-product-logo.png
payments/indo/games-vouchers/battlefield-4	https://images.ctfassets.net/seegk6e7ypwi/2KugN4XyFSLBvLTHyemuVI/83a390650fea280e49120a0afea0d688/battlefield-4-product-logo.png
payments/indo/games-vouchers/demon-slayer-hinokami	https://commons.wikimedia.org/wiki/Special:FilePath/Kimetsu%20no%20Yaiba%20logo.svg
payments/indo/games-vouchers/f1-manager-2024	https://www.f1manager.com/_nuxt/img/f1m2024-logo-primary-micro.1caeacb.svg
payments/indo/utilities-bills/pln	https://upload.wikimedia.org/wikipedia/commons/2/20/Logo_PLN.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
payments/indo/games-vouchers/pubg-mobile	https://crystalpng.com/wp-content/uploads/2025/09/Pubg-Logo.png
payments/indo/games-vouchers/genshin-impact	https://cdn2.steamgriddb.com/logo/944eefd22dfe99fe7631b8ecc732c7cf.png
