figma_path,outcome,detail,url
banks/indo/oke-indonesia,unusable,"5 candidate(s), none met the 128px floor",
banks/indo/index-selindo,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/multiarta-sentosa,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/e4/69/22/e46922e9-0aae-b94d-ca63-4c879a8fd67f/AppIcon-prod-0-0-1x_U007emarketing-0-11-0-85-220.png/1024x1024bb.png
banks/indo/sahabat-sampoerna,downloaded,"brand-site | wordmark | 2.95:1 (horizontal, 233x79) | transparent",https://statics.banksampoerna.com/assets/images/logo.png
banks/indo/kesejahteraan-ekonomi,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/jtrust,downloaded,"brand-site | wordmark | 2.58:1 (horizontal, 1276x494) | transparent",https://www.jtrustbank.co.id/theme/Site/img/2024/logo-jtrust-call.png
banks/indo/mandiri-taspen,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/10/de/b1/10deb16e-983b-cc28-d587-aea017840775/AppIcon-0-0-1x_U007emarketing-0-7-0-85-220.png/1024x1024bb.png
banks/indo/bank-of-india-indonesia,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/sbi-indonesia,unusable,"5 candidate(s), none met the 128px floor",
banks/indo/qnb-indonesia,downloaded,"brand-press | wordmark | 3.20:1 (horizontal, 307x96) | transparent",https://www.qnb.co.id/site/default/master/_/asset/id.co.qnb:00000198819655d0/img/logo.png
banks/indo/woori-saudara,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/shinhan-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/6b/fc/67/6bfc6783-da45-1370-fcdb-155c1a890557/AppIcon-0-0-1x_U007emarketing-0-2-85-220.png/1024x1024bb.png
banks/indo/keb-hana,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/37/9b/a9/379ba998-ca47-5b3d-8239-a2c22fe368df/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/1024x1024bb.png
banks/indo/ibk-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/4c/51/55/4c51552b-8970-ed0e-58ec-1eda98a9ba6d/AppIconIndo-0-0-1x_U007emarketing-0-0-0-5-0-0-85-220.png/1024x1024bb.png
banks/indo/ctbc-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/bb/45/46/bb4546cf-4831-a225-85c8-faa36eeaf456/AppIcon-0-0-1x_U007emarketing-0-7-85-220.jpeg/1024x1024bb.png
banks/indo/mizuho-indonesia,unresolved,no candidates found,
banks/indo/mufg-indonesia,unresolved,no candidates found,
banks/indo/resona-perdania,downloaded,"brand-site | wordmark | 1:1.27 (vertical, 760x966) | vector (verify no baked-in background)",https://www.perdania.co.id/images/resona-logo-bg.svg
banks/indo/icbc-indonesia,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/bnp-paribas-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/7b/44/8f/7b448fcc-a91a-ac74-0be8-4426f652d51a/AppIcon-0-0-1x_U007emarketing-0-6-0-85-220.png/1024x1024bb.png
banks/indo/dbs-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/d1/4e/17/d14e179c-2251-4a9a-b83a-dd55bf08755f/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/1024x1024bb.png
banks/indo/anz-indonesia,unresolved,no candidates found,
banks/indo/standard-chartered-indonesia,downloaded,"brand-press | icon | 1.00:1 (square, 200x200) | transparent",https://av.sc.com/id/content/images/content/images/cropped-512x512-new-200x200.png
banks/indo/bank-of-china-indonesia,unresolved,no candidates found,
banks/indo/commonwealth,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/ea/0d/8b/ea0d8bf5-1c1b-9518-b7dd-26ca2d06adab/AppIcon-1x_U007emarketing-0-11-0-85-220-0.png/1024x1024bb.png
banks/indo/bca-syariah,downloaded,"brand-press | unknown | 5.86:1 (horizontal, 1941x331) | transparent",https://www.bcasyariah.co.id/cfind/source/images/logo-bcas-full-color.png
banks/indo/mega-syariah,downloaded,"brand-site | wordmark | 1.34:1 (horizontal, 94x70) | vector (verify no baked-in background)",https://www.megasyariah.co.id/bms-new/asset/images/LogoColor.svg
banks/indo/panin-dubai-syariah,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/bjb-syariah,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/05/f7/04/05f70408-4a27-1bc5-9224-d5c5ebbda2d5/AppIcon-0-0-1x_U007emarketing-0-7-0-85-220.png/1024x1024bb.png
banks/indo/kb-bank-syariah,unresolved,no candidates found,
banks/indo/victoria-syariah,unresolved,no candidates found,
banks/indo/bank-jateng,downloaded,"brand-site | wordmark | 1.98:1 (horizontal, 2143x1084) | transparent",https://www.bankjateng.co.id/media/Logo_Bank_Jateng_Putih_Transparan.png
banks/indo/bank-bpd-diy,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/df/9c/4c/df9c4c4d-aff5-5fe0-e72c-aa99706717f9/AppIcon-0-0-1x_U007emarketing-0-11-0-0-85-220.png/1024x1024bb.png
banks/indo/bank-banten,downloaded,"brand-site | wordmark | 2.58:1 (horizontal, 1000x388) | transparent",https://www.bankbanten.co.id/assets/uploads/2026/08/1_LOGO-Baru-Bank-Banten_2026.png
banks/indo/bank-sumut,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/ac/29/ba/ac29baf3-fb6c-98a8-fb11-6bb9e01824ac/AppIcon-0-0-1x_U007emarketing-0-11-0-85-220.png/1024x1024bb.png
banks/indo/bank-nagari,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/6c/92/39/6c923967-5b8b-89ad-92c6-6b3e60dda57a/AppIcon-0-0-1x_U007emarketing-0-8-0-0-85-220.png/1024x1024bb.png
banks/indo/bank-riau-kepri-syariah,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/bank-jambi,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/32/35/ef/3235ef96-6161-3205-e436-74ada10681df/AppIcon-0-0-1x_U007emarketing-0-11-0-85-220.jpeg/1024x1024bb.png
banks/indo/bank-sumsel-babel,downloaded,"brand-site | wordmark | 3.80:1 (horizontal, 1141x300) | transparent",https://www.banksumselbabel.com/img/logo.png
banks/indo/bank-bengkulu,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/15/46/ed/1546ede8-964c-6d16-968c-7cb6415b04f8/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/1024x1024bb.png
banks/indo/bank-lampung,downloaded,"brand-site | unknown | 1.91:1 (horizontal, 1200x628) | has own baked-in background",https://www.banklampung.co.id/assets/images/banklampung/meta_default.png
banks/indo/bank-aceh-syariah,downloaded,"brand-site | wordmark | 3.81:1 (horizontal, 2402x630) | transparent",https://bankaceh.co.id/wp-content/uploads/2024/05/Logo-Bank-Aceh-Putih.png
banks/indo/bank-kalbar,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/5a/ed/c3/5aedc3fc-294a-a873-9e49-1bd5aa5986e0/AppIcon-BKalbar-0-0-1x_U007emarketing-0-11-0-85-220.png/1024x1024bb.png
banks/indo/bank-kalsel,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/89/53/b7/8953b785-9695-048e-5692-d2a92aef8f83/AppIcon-0-0-1x_U007emarketing-0-7-0-0-85-220.png/1024x1024bb.png
banks/indo/bank-kalteng,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/49/d1/42/49d1428d-68d0-c5eb-9e62-1fb8a69796a6/AppIcon-0-0-1x_U007emarketing-0-8-0-0-85-220.png/1024x1024bb.png
banks/indo/bank-kaltimtara,unusable,"4 candidate(s), none met the 128px floor",
banks/indo/bank-sulselbar,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/41/aa/aa/41aaaad8-12f2-3b0f-7336-75fc3dedf3e6/AppIcon-0-0-1x_U007emarketing-0-7-0-0-85-220.png/1024x1024bb.png
